PerÃ­odo,Quantidade Real,ARIMA,SARIMAX-12,SARIMAX-6,Holt-Winters,Prophet/UC,Theta,GradientBoosting,LSTM_Forecast,Ensemble,Vencedor (menor RMSE holdout = 16.10)
2015-01-01T02:00:00.000Z,1,0,-7,-9,-3,-6,,,23,1,In-sample
2015-02-01T02:00:00.000Z,0,1,-10,-14,-1,-13,,,1,-5,In-sample
2015-03-01T03:00:00.000Z,0,2,-1,-8,18,2,,,20,7,In-sample
2015-04-01T03:00:00.000Z,1,0,4,2,-5,2,,,2,1,In-sample
2015-05-01T03:00:00.000Z,2,-1,8,11,27,7,,,-4,8,In-sample
2015-06-01T03:00:00.000Z,2,1,4,7,-6,4,,,-19,-3,In-sample
2015-07-01T03:00:00.000Z,4,4,4,14,-4,-3,,,9,4,In-sample
2015-08-01T03:00:00.000Z,6,3,-8,1,-2,-4,,,6,0,In-sample
2015-09-01T03:00:00.000Z,2,6,1,1,-14,4,,,40,8,In-sample
2015-10-01T03:00:00.000Z,5,5,5,4,16,2,,,18,9,In-sample
2015-11-01T02:00:00.000Z,3,4,14,10,4,12,,,2,7,In-sample
2015-12-01T02:00:00.000Z,2,4,-5,-15,-17,-2,,,39,3,In-sample
2016-01-01T02:00:00.000Z,6,4,2,2,18,-1,,,0,4,In-sample
2016-02-01T02:00:00.000Z,7,4,18,33,11,19,,11,28,16,In-sample
2016-03-01T03:00:00.000Z,11,7,22,10,28,10,,15,13,16,In-sample
2016-04-01T03:00:00.000Z,15,10,12,7,6,9,,16,14,12,In-sample
2016-05-01T03:00:00.000Z,16,14,0,-3,39,6,,18,-9,11,In-sample
2016-06-01T03:00:00.000Z,15,17,14,20,8,10,,18,-32,8,In-sample
2016-07-01T03:00:00.000Z,26,17,15,15,9,15,,21,30,19,In-sample
2016-08-01T03:00:00.000Z,21,23,38,30,16,35,,19,60,30,In-sample
2016-09-01T03:00:00.000Z,22,24,16,15,2,18,,19,16,16,In-sample
2016-10-01T03:00:00.000Z,10,25,30,35,34,28,,16,22,25,In-sample
2016-11-01T02:00:00.000Z,12,15,1,7,15,7,,16,38,16,In-sample
2016-12-01T02:00:00.000Z,11,14,22,16,-7,17,,14,13,13,In-sample
2017-01-01T02:00:00.000Z,32,10,10,11,27,15,,27,37,22,In-sample
2017-02-01T02:00:00.000Z,20,25,20,28,30,16,,21,13,21,In-sample
2017-03-01T03:00:00.000Z,45,24,26,27,43,29,,48,43,38,In-sample
2017-04-01T03:00:00.000Z,42,39,41,34,31,35,,40,18,35,In-sample
2017-05-01T03:00:00.000Z,43,41,35,30,65,39,,40,-25,32,In-sample
2017-06-01T03:00:00.000Z,41,48,55,61,34,48,,39,11,40,In-sample
2017-07-01T03:00:00.000Z,62,43,40,43,36,47,,57,96,55,In-sample
2017-08-01T03:00:00.000Z,36,55,63,59,47,56,,37,35,47,In-sample
2017-09-01T03:00:00.000Z,41,50,47,54,25,54,,45,46,45,In-sample
2017-10-01T03:00:00.000Z,43,42,26,29,55,22,,43,80,45,In-sample
2017-11-01T02:00:00.000Z,79,44,37,44,42,45,,76,72,58,In-sample
2017-12-01T02:00:00.000Z,49,65,81,80,42,64,,47,62,59,In-sample
2018-01-01T02:00:00.000Z,83,63,75,74,70,78,,80,71,75,In-sample
2018-02-01T02:00:00.000Z,102,75,59,55,77,58,,97,96,81,In-sample
2018-03-01T03:00:00.000Z,142,92,100,99,109,101,,134,115,114,In-sample
2018-04-01T03:00:00.000Z,132,131,140,142,113,123,,125,85,121,In-sample
2018-05-01T03:00:00.000Z,155,138,137,138,152,134,,148,124,141,In-sample
2018-06-01T03:00:00.000Z,125,153,144,142,134,137,,130,124,135,In-sample
2018-07-01T03:00:00.000Z,202,141,146,150,127,160,,198,195,169,In-sample
2018-08-01T03:00:00.000Z,143,178,161,162,165,141,,136,147,151,In-sample
2018-09-01T03:00:00.000Z,168,165,156,173,137,159,,166,198,166,In-sample
2018-10-01T03:00:00.000Z,185,175,184,186,175,170,,180,192,181,In-sample
2018-11-01T03:00:00.000Z,146,174,171,170,174,194,,148,156,163,In-sample
2018-12-01T02:00:00.000Z,158,169,166,166,139,149,,160,151,157,In-sample
2019-01-01T02:00:00.000Z,152,168,170,172,174,172,,160,140,163,In-sample
2019-02-01T02:00:00.000Z,205,142,160,157,162,175,,201,182,176,In-sample
2019-03-01T03:00:00.000Z,216,209,213,198,204,202,,197,157,195,In-sample
2019-04-01T03:00:00.000Z,201,190,201,203,197,199,,199,189,197,In-sample
